Taxa,Color,Text
Aerococcus_christensenii,#616161,A. christensenii
Fannyhessea_vaginae,#0000cd,F. vaginae
Berryella_sp001552935,#ff00d9,B. sp001552935
Bifidobacterium_breve,#c1ffc1,B. breve
UBA629_sp005465875,#6e0f00,Ca. L. vaginae
KA00274_sp902373515,#3bb16f,A. indicium
Cutibacterium_acnes,#4c693a,C. acnes
Dialister_sp001553355,#045c47,D. sp001553355
Gardnerella,#99b0af,Gardnerella
Gardnerella_leopoldii,#bbeff2,G. leopoldii
Gardnerella_piotii,#409490,G. piotii
Gardnerella_sp003585845,#05ebdf,G. sp003585845
Gardnerella_swidsinkii,#58e0d9,G. swidsinkii
Gardnerella_vaginalis,#20b2aa,G. vaginalis 
Gardnerella_vaginalis_A,#085e5a,G. vaginalis A
Gardnerella_vaginalis_C,#1acad6,G. vaginalis C
Gardnerella_vaginalis_D,#2b7572,G. vaginalis D
Gardnerella_vaginalis_E,#6accc7,G. vaginalis E
Gardnerella_vaginalis_F,#00494f,G. vaginalis F
Gardnerella_vaginalis_H,#146c73,G. vaginalis H
Lactobacillus_crispatus,#ff0000,L. crispatus
Lactobacillus_gasseri,#86bf4d,L. gasseri
Lactobacillus_iners,#ff8c00,L. iners
Lactobacillus_jensenii,#333333,L. jensenii
Lactobacillus_mulieris,#a16060,L. mulieris
Lactobacillus_paragasseri,#0d4018,L. paragasseri
Limosilactobacillus_portuensis,#cf36b5,L. portuensis
Megasphaera_lornae,#008B45,M. lornae
Mobiluncus_mulieris,#f08080,M. mulieris
Nanoperiomorbus_sp004136275,#613b1a,N. sp004136275
Prevotella,#7d7d7d,Prevotella
Prevotella_amnii,#ac8fc7,P. amnii
Prevotella_bivia,#c997cc,P. bivia
Prevotella_sp000758925,#6c6e45,P. sp000758925
Prevotella_spNov3,#684a6b,P. spNov3
Prevotella_timonensis,#f8fca9,P. timonensis
Sneathia_vaginalis,#6963ff,S. vaginalis
Streptococcus_agalactiae,#c43db0,S. agalactiae
Streptococcus_anginosus,#ffbaf8,S. anginosus
Streptococcus_mitis,#c771ba,S. mitis
Trichomonas_vaginalis,#0077ff,T. vaginalis
other,#8c8c8c,Other